Lhakpa Dorji,0,0
Damon Wayans Jr.,-1,-1
Jonathan Frakes,0,0
James Callis,0,0
Samuel Davis,0,0
Blanchard Ryan,0,0
Claire Geare,0,0
Paula Marshall,0,0
J. Smith-Cameron,-1,-1
John Wells,0,0
Georgina Chapman,0,0
Yolande Moreau,0,0
Dove Cameron,0,0
Andy Garcia,0,0
Mindy Sterling,0,0
Heath Ledger,0,0
Adel Karam,0,0
John Meillon,0,0
Hutch Dano,0,0
Mary McDonnell,0,0
Peter Hastings,0,0
Richard Raymond,0,0
Kevin Nash,0,870419
John Stainton,0,0
Douglas Trumbull,0,0
Tamsin Egerton,0,0
Bruce Boxleitner,0,0
Sandra Ellis Lafferty,0,0
Rafe Spall,0,0
Lupe Ontiveros,0,0
Roger Cross,0,0
Brett Leonard,0,0
Ma,0,0
James Corden,0,0
Craig Hall,0,0
Mo,0,0
Noam Murro,0,0
Celeste Holm,0,0
Gareth Edwards,0,0
Jordan Trovillion,0,0
Mike Muscat,0,0
Colin Farrell,0,0
Drew Waters,0,0
Gurinder Chadha,0,0
John Witherspoon,0,0
Deborah Foreman,0,0
Debra Monk,0,0
Silvio Muccino,0,0
Leon Ichaso,0,0
Marri Savinar,0,0
Phil Joanou,0,0
Jason Beghe,0,0
Justin Kerrigan,0,0
Kathryn Bigelow,0,0
Karl E. Landler,-1,-1
Timoth,0,0
Julian Sands,0,0
J.K. Simmons,-1,-1
Shannon Elizabeth,0,0
Marshall Bell,0,0
Ty Burrell,0,0
Bella Heathcote,0,0
Joe Egan,0,0
Jake Gyllenhaal,0,0
William McNamara,0,0
Gina Montana,0,0
Julene Renee,0,0
Rai Alexandra,0,0
Michel C,0,0
Deon Richmond,0,0
Lee Evans,0,31236
Stephen Langford,0,0
Bo Welch,0,0
Andrew Wilson,0,0
Wayne Pygram,0,0
Jim Abrahams,0,0
Roschdy Zem,0,0
Thomas Lilti,0,0
Anthony C. Ferrante,-1,-1
Richard Masur,0,0
Vanessa Ray,0,0
Catherine O,0,0
James Kerwin,0,0
Diahann Carroll,0,0
Garrett M. Brown,-1,-1
Mark Herman,0,0
Meat Loaf,0,0
Frances Bay,0,0
Alex Rivera,0,0
Klaus Menzel,0,0
Marcus Chong,0,0
Val Kilmer,0,0
Nicki Aycox,0,0
Alona Tal,0,0
Benoît Poelvoorde,-1,-1
Gil Junger,0,0
Jaime Zevallos,0,0
Chan-wook Park,-1,-1
Pat Buchanan,0,0
Ed Gass,0,0
Claudia Lapacó,-1,-1
Ray McKinnon,0,0
Denys Arcand,0,0
Bob Saget,320662,2524672
Laurel Holloman,0,0
Nicole Randall Johnson,0,0
Ellen Barkin,0,0
Dylan Kussman,0,0
Carroll Ballard,0,0
Déborah Révy,-1,-1
Rijk de Gooyer,0,0
Rie Rasmussen,0,0
Carlos Carrera,0,0
Éric Tessier,-1,-1
Betsy Palmer,0,0
Aryana Engineer,0,0
Pawel Szajda,0,0
Teresa Wright,0,0
Alfonso Cuarón,-1,-1
Matthew R,0,0
Jasmine Trinca,0,0
Laura Harris,0,0
Lauren Sweetser,0,0
Mike Mitchell,0,49822
Johanna M,0,0
Morgan Fairchild,0,0
Ashish R. Mohan,-1,-1
Geoff Bell,0,0
Joely Richardson,0,0
Annie Parisse,0,0
Bruce Hopkins,0,0
Cullen Douglas,0,0
Steve Railsback,0,0
Ken Takakura,0,0
Jordi Mollà,-1,-1
Don Hall,0,0
Joseph Pilato,0,0
Spencer Susser,0,0
Meredith Hagner,0,0
David Heyman,0,0
Melanie Papalia,0,0
Nina Arianda,0,0
Woo-hee Chun,-1,-1
Royce Johnson,0,0
Kiowa Gordon,0,0
Al Sapienza,0,0
Keri Maletto,0,0
Waris Ahluwalia,0,0
Raja Gosnell,0,0
Joey Lawrence,79457,198091
Tom Ardavany,0,0
Zal Batmanglij,0,0
Gary Daniels,0,0
David Keith,0,0
Ciarán Foy,-1,-1
Krystyna Janda,0,0
Sarah Callan,0,0
Peter Marquardt,0,0
Stephen Milburn Anderson,0,0
Matthew O'Callaghan,-1,-1
Conrad Vernon,0,0
Mathew Buck,0,0
Joby Harold,0,0
Paul Elia,0,0
Cynthia Rhodes,0,0
Mark Helfrich,0,0
Pedro Almodóvar,-1,-1
Joe Howard,0,0
Bruno Ganz,0,0
Thom Mathews,0,0
Katrina Kaif,0,0
Jos,0,0
Mihalis Giannatos,0,0
Zak Penn,0,0
Kevin Clash,0,0
Melina Kanakaredes,0,0
Benjamin Dickinson,0,0
David Dobkin,0,0
Ari Folman,0,0
Adrian Lyne,0,0
Jemma Curran,0,0
Nat Wolff,0,0
Rosalind Harris,0,0
Sue Corcoran,0,0
Don Rickles,0,0
Andrey Zvyagintsev,0,0
Jesse Tyler Ferguson,0,0
Angelo Rossitto,0,0
Brendan Doogie Milewski,0,0
Rufus Sewell,0,0
Enrique Iglesias,51432804,11637157
Sachiko Ishida,0,0
Jeannetta Arnette,0,0
Bill Condon,0,0
Holt McCallany,0,0
Daniel Rindress,0,0
Romeo Miller,0,535053
Isabelle Carr,0,0
Beth Riesgraf,0,0
Eva Marcille,0,0
Stephen Sommers,0,0
Preston A,0,0
Edward Everett Horton,0,0
Randy Jones,0,0
Brian Gibson,0,0
Richard LaGravenese,0,0
Aaron Seltzer,0,0
Cicely Tyson,0,0
Christopher Webster,0,0
Jonathan Levine,0,0
Kris Sommerville,0,0
Parminder Nagra,0,0
Jeff Burr,0,0
Jason Trost,0,0
John Lasseter,0,0
Anthony Vallone,0,0
Theresa Merritt,0,0
Michael Elian,0,0
Dickie Jones,0,0
Julie Taymor,0,0
Steve Whitmire,0,0
John Glover,0,0
Richard Thomas,0,0
Sam Riley,0,0
Masayuki Ochiai,0,0
Wendie Malick,0,0
Lucy Gordon,0,0
David Kelly,0,0
Maura Tierney,0,0
Jon Wright,0,0
John R. Leonetti,-1,-1
Neil Maskell,0,0
Jason Gray-Stanford,-1,-1
Ciar,0,0
François Truffaut,-1,-1
Brian d'Arcy James,-1,-1
Adhir Kalyan,0,0
Lance Gross,0,0
Cyndi Lauper,0,0
Richard Shepard,0,0
Chris Lowell,0,0
Joseba Ugalde,0,0
Jeff Anderson,0,0
Charles T,0,0
Jessica Bowman,0,0
Matt Smith,0,0
Luke Bracey,0,0
Nataniel S,0,0
Leehom Wang,0,0
Lisa Arnold,0,0
Andrés Muschietti,-1,-1
John Ottman,0,0
Jill St,0,0
Clive Standen,0,0
Gilbert R,0,0
Jack Conway,0,0
Bill Paterson,0,0
Sergi López,-1,-1
Alex Jennings,0,0
Dustin Milligan,0,0
Montgomery Clift,0,0
Jackie Earle Haley,0,0
Sabrina Revelle,0,0
Matt Bushell,0,0
Shona Kay,0,0
Dwight Henry,0,0
Sai Varadan,0,0
Jack Canfield,0,0
Michael Derek,0,0
Drew Carey,0,0
Scott Foley,0,0
Sung-jun Yoo,-1,-1
Sheldon Bailey,0,0
Lucas Bryant,0,0
Heather Matarazzo,0,0
Togo Igawa,0,0
Tom Schulman,0,0
Bob Peck,0,0
Harry Beaumont,0,0
Michael Emerson,0,0
Chulpan Khamatova,0,0
Nikki Griffin,0,0
