Barbershop 2: Back in Business,Troy Garity
Million Dollar Baby,Mike Colter
From Hell,"Robbie Coltrane,Ian Richardson"
Because of Winn-Dixie,Eva Marie Saint
Southpaw,50 Cent
Love,"Ugo Fox,Juan Saavedra"
I Got the Hook Up,Richard Keats
Wild Target,Eileen Atkins
Final Fantasy: The Spirits Within,Peri Gilpin
Snakes on a Plane,"Rachel Blanchard,Flex Alexander"
Mad Max Beyond Thunderdome,Frank Thring
Salvation Boulevard,Jan Radcliff
Robot & Frank,Susan Sarandon
The Perfect Host,Megahn Perry
Rio,Kelly Keaton
Fun with Dick and Jane,"Richard Jenkins,Angie Harmon"
Conquest of the Planet of the Apes,Severn Darden
Victor Frankenstein,Daniel Mays
Ronin,"Natascha McElhone,Sean Bean"
Home on the Range,Carole Cook
Shrek Forever After,Julie Andrews
A History of Violence,Ashton Holmes
Agent Cody Banks 2: Destination London,Daniel Roebuck
Neal 'N' Nikki,Gaurav Gera
A Beautiful Mind,Paul Bettany
The Mummy: Tomb of the Dragon Emperor,Michelle Yeoh
Windtalkers,Mark Ruffalo
Rush,"Alexandra Maria Lara,Pierfrancesco Favino"
Broken Horses,"Chris Marquette,Thomas Jane"
The Muse,Cybill Shepherd
Taken,David Warshofsky
Grown Ups,Rob Schneider
Rabbit Hole,Tammy Blanchard
Analyze This,Kresh Novakovic
Sleeper,Don Keefer
The Birth of a Nation,Mary Alden
Footloose,"Dianne Wiest,Chris Penn"
Snow Dogs,"Nichelle Nichols,M. Emmet Walsh"
The Fourth Kind,Enzo Cilenti
Sweet Charity,Chita Rivera
Supernova,Peter Facinelli
TMNT,Patrick Stewart
Insomnia,Paul Dooley
I Can Do Bad All by Myself,Hope Olaide Wilson
The Salton Sea,"Adam Goldberg,Doug Hutchison"
I Am Number Four,Callan McAuliffe
Indiana Jones and the Temple of Doom,Roshan Seth
The Game Plan,Morris Chestnut
The Legend of God's Gun,Mike Bruce
La migliore offerta,Philip Jackson
The Eye,Fernanda Romero
D-War,Aimee Garcia
Chariots of Fire,Daniel Gerroll
Gun Shy,"Michael DeLorenzo,Andrew Lauer"
The Lord of the Rings: The Two Towers,Cate Blanchett
The Molly Maguires,Anthony Zerbe
Le violon rouge,Samuele Amighetti
The Crying Game,Breffni McKenna
The Adventures of Ford Fairlane,Lauren Holly
Mindhunters,Jonny Lee Miller
Premium Rush,Anthony Chisholm
Not Easily Broken,Wood Harris
Soldier,Sean Pertwee
Oblivion,Nikolaj Coster-Waldau
The Hills Have Eyes II,"Jay Acovone,Jeff Kober"
Bride of Chucky,Alexis Arquette
My Best Friend's Girl,Diora Baird
She's Out of My League,Nate Torrence
3:10 to Yuma,Ben Foster
Seven Pounds,Barry Pepper
Out of the Furnace,Christian Bale
What Just Happened,John Turturro
Escape from New York,Isaac Hayes
The Other End of the Line,Nouva Monika Wahlgren
Focus,Rodrigo Santoro
Into the Storm,Nathan Kress
High Plains Drifter,Jack Ging
Twilight Zone: The Movie,Charles Hallahan
Marie Antoinette,Rose Byrne
Redbelt,Jose Pablo Cantillo
The Lone Ranger,Ruth Wilson
Another Year,Peter Wight
Think Like a Man Too,Regina Hall
Before Sunset,"Vernon Dobtcheff,Rodolphe Pauly"
August Rush,Robin Williams
The Young Messiah,Christian McKay
Love Stinks,Steve Hytner
Closer,Nick Hobbs
No Good Deed,Henry Simmons
The Pink Panther,Henry Czerny
Out of Sight,Ving Rhames
Spaced Invaders,Gregg Berger
The Divide,Ashton Holmes
Groundhog Day,Brian Doyle-Murray
Trainspotting,Robert Carlyle
Office Space,Diedrich Bader
Bee Movie,"Patrick Warburton,John Goodman"
The Tempest,Tom Conti
The Lego Movie,David Burrows
Me Before You,Pablo Raybould
Inchon,"Ben Gazzara,Richard Roundtree"
Kick-Ass,Lyndsy Fonseca
The Whole Nine Yards,Natasha Henstridge
The Bourne Supremacy,Karl Urban
Ironclad,Paul Giamatti
AVP: Alien vs. Predator,Colin Salmon
A Man for All Seasons,Orson Welles
Skyfall,"Ralph Fiennes,Naomie Harris"
Black Knight,Daryl Mitchell
Match Point,Brian Cox
Dreamer: Inspired by a True Story,David Morse
Katy Perry: Part of Me,Max Hart
Poseidon,Emmy Rossum
Brick Mansions,Catalina Denis
Cidade de Deus,Jonathan Haagensen
I Am Sam,Loretta Devine
Impostor,Tim Guinee
In Good Company,David Paymer
Bridge to Terabithia,Bailee Madison
The Wicked Lady,Michael Rennie
Justin Bieber: Never Say Never,Ludacris
Walk Hard: The Dewey Cox Story,Chip Hormess
Sands of Iwo Jima,Wally Cassell
Batman Forever,Chris O'Donnell
Only the Strong,Todd Susman
The Age of Innocence,Michael Rees Davis
Secretary,Stephen McHattie
Silent Hill: Revelation 3D,Radha Mitchell
Jui kuen II,Chia-Liang Liu
Paa,Arundathi Nag
Daddy Day Camp,Paul Rae
Edtv,Ian Gomez
Hoot,Cody Linley
Hook,Maggie Smith
Behind Enemy Lines,Joaquim de Almeida
Journey 2: The Mysterious Island,"Josh Hutcherson,Vanessa Hudgens"
Two Lovers,Carmen M. Herlihy
Funny Games,Devon Gearhart
Tomorrowland,Tim McGraw
Spy Kids,Alan Cumming
Hoodwinked Too! Hood vs. Evil,David Ogden Stiers
Madagascar,Sacha Baron Cohen
The Imitation Game,Allen Leech
Four Weddings and a Funeral,Kristin Scott Thomas
Stuck on You,Pat Crawford Brown
Joy Ride,Stuart Stone
Captain America: Civil War,Anthony Mackie
Vacation,Chris Hemsworth
LOL,Jim Carrane
Ninja Assassin,Yuki Iwamoto
Das Leben der Anderen,"Ulrich Tukur,Thomas Thieme"
The Blues Brothers,Ray Charles
Eraser,Robert Pastorelli
Maria Full of Grace,Yenny Paola Vega
Song One,Johnny Flynn
Inglourious Basterds,"Eli Roth,Michael Fassbender"
Faster,Jan Hoag
Kundun,Tencho Gyalpo
Raiders of the Lost Ark,John Rhys-Davies
Z Storm,Janelle Sing
My Big Fat Greek Wedding 2,Andrea Martin
The Devil Wears Prada,Simon Baker
X: First Class,Kevin Bacon
The Adjustment Bureau,Michael Kelly
Arlington Road,Robert Gossett
Angry Birds,Bill Hader
Alice Through the Looking Glass,Sacha Baron Cohen
Doctor Zhivago,Alec Guinness
Captain Corelli's Mandolin,"Irene Papas,Gerasimos Skiadaressis"
Blue Jasmine,Alec Baldwin
Surf's Up,James Woods
Son of the Mask,Traylor Howard
Hollywood Shuffle,Marc Figueroa
Bringing Out the Dead,Tom Sizemore
Room,Sandy McMaster
Bangkok Dangerous,Nirattisai Kaljareuk
The Ice Pirates,John Matuszak
Youth in Revolt,Erik Knudsen
Casa de mi Padre,"Genesis Rodriguez,Efren Ramirez"
Spectre,"Ralph Fiennes,Monica Bellucci"
Dressed to Kill,Dennis Franz
Four Christmases,Jon Voight
Jodaeiye Nader az Simin,Sarina Farhadi
Lost in Translation,Kazuko Shibata
Along Came Polly,Alec Baldwin
The Polar Express,Peter Scolari
Yentl,Steven Hill
Troop Beverly Hills,Stephanie Beacham
Grudge Match,Ireland Baldwin
March or Die,Ian Holm
Elmer Gantry,Shirley Jones
Miss Julie,"Colin Farrell,Nora McMenamy"
The Outsiders,Rob Lowe
Red Eye,Max Kasch
A Low Down Dirty Shame,Andrew Divoff
House on Haunted Hill,Chris Kattan
Everybody's Fine,Lucian Maisel
Cheaper by the Dozen 2,Piper Perabo
Phantasm II,Samantha Phillips
Saw III,Donnie Wahlberg
Delivery Man,Simon Delaney
Evil Dead,Elizabeth Blackmore
The Raven,Kevin McNally
Joan of Arc,"David Bailie,David Barber"
Night of the Living Dead,"Marilyn Eastman,Keith Wayne"
The Awakening,Shaun Dooley
Original Sin,Gregory Itzin
Who Killed the Electric Car?,Jim Boyd
Fong juk,Richie Jen
Waking Ned,James Nesbitt
Sliding Doors,Zara Turner
The House of Magic,Joey Camen
Lakeview Terrace,Justin Chambers
Men in Black 3,Emma Thompson
Lawrence of Arabia,Omar Sharif
The Wood,Duane Finley
Percy Jackson: Sea of Monsters,Brandon T. Jackson
For Greater Glory: The True Story of Cristiada,Catalina Sandino Moreno
Bulletproof Monk,Victoria Smurfit
Hedwig and the Angry Inch,Rob Campbell
Megiddo: The Omega Code 2,Diane Venora
How High,"Mike Epps,Anna Maria Horsford"
The Incredible Hulk,Tim Blake Nelson
Fascination,Fanny Magier
Mystery Men,Paul Reubens
In the Bedroom,William Mapother
El crimen del Padre Amaro,"Sancho Gracia,Luisa Huertas"
License to Wed,Christine Taylor
Freddy Got Fingered,Harland Williams
The Sweeney,Paul Anderson
Four Rooms,Ione Skye
Bad Grandpa,Kamber Hejlik
The Informant!,Craig Ricci Shaynak
Urban Legend,Loretta Devine
Paint Your Wagon,Ray Walston
Ed Wood,Jeffrey Jones
A Lego Brickumentary,Bret Harris
The Hundred-Foot Journey,Amit Shah
Fruitvale Station,Chad Michael Murray
Get on the Bus,Gabriel Casseus
Army of Darkness,Richard Grove
Mars Attacks!,Danny DeVito
Bless the Child,Angela Bettis
Karachi se Lahore,Aashir Wajahat
Drop Dead Gorgeous,Kirstie Alley
Twixt,Joanne Whalley
The Lincoln Lawyer,Josh Lucas
Freeway,Robert Peters
Star Trek: First Contact,Michael Dorn
Bait,Simon Edds
The Mothman Prophecies,Debra Messing
Paranormal Activity 3,Hallie Foote
