Actor1_Rev,Actor2_Rev,YT_Count,YT_Dislike,IMDBVotes,Revenue
20660375,89065550,33228533,15398,278257,461651246
0,13130548,6307400,905,77445,310138178
108476005,0,33735857,10308,150577,267200000
20112518,37308058,12225413,3713,36701,311594032
49068174,0,1932984,291,102241,308700000
85343206,0,2882899,378,940777,316915264
31359653,43834938,297161,21,189641,300854823
29402685,589089,17890093,2113,151030,243388614
49706392,93196236,8385164,1101,122771,116643346
183502020,0,2490899,198,212714,202726605
45347686,0,415732,85,81295,72785169
0,570712,3832477,398,149480,80218314
53716876,195533,5519471,1153,32995,443483213
49068174,0,550672,58,108241,114658262
82109392,100912630,6585675,1454,212901,150562164
7558994,0,312316,17,58917,117800000
100912630,87060435,6215222,525,158249,213463976
152579280,135936571,1836646,18,360661,123954323
100178274,0,7526317,1201,44980,131011757
12585914,17195023,3972774,484,120913,156815529
104329638,136623867,479044,188,106463,158702748
58415215,0,617245,61,135900,54243125
15407104,137431619,1642216,130,86415,137431619
142457449,0,10800424,1640,145769,220241723
106585059,0,1620786,193,59720,116625798
187715569,270791984,1445238,14,218411,137022245
85343206,21006861,244562,2,100348,131445884
60879424,85090007,3807866,232,44811,70546865
80045696,19261972,3147905,247,40519,69157016
74334656,0,13035639,1595,90434,54612337
117777459,20660375,16064863,1687,42724,60279822
0,72540,4694338,349,125268,160379930
55956848,93196236,181275,12,44866,19003827
41491375,12837432,6024946,279,108733,65409046
14035944,70122506,248161,27,22634,30000000
20112518,0,163650,130,17004,14235059
78297584,21541,527409,47,27698,19870567
19261972,166786353,1084155,118,26556,13596911
75627836,3250176,1315541,1388,5238,6455823
360722214,0,4159174,518,41905,19548419
0,56830970,195872,7,73980,49730854
53918831,62940472,6118406,548,185075,103735965
20364709,0,23209309,12123,46399,61402445
193500000,127955447,306549,23,88864,193500000
16434861,0,22271252,4568,190792,706102828
64962645,81475107,891787,30,104665,113542091
122063724,86667042,38606741,10658,406002,543495033
19457982,97261285,340855,28,33162,77224232
144799396,84851658,34480293,8139,131491,63883740
0,31324402,534625,35,55170,38992292
0,37852357,155938,22,54953,33462011
20660375,28434237,1840018,125,106110,87173475
16450416,101365680,941555,41,137934,60265197
220027943,101365680,522257,44,180906,118556530
19688698,79330896,7499677,1415,132336,137489730
180397435,0,173156,7,91108,211700000
1490086,0,603841,54,88289,189176423
35579716,84635231,7939301,1848,30107,125769808
57619771,11588983,2024565,139,932948,485035085
40106627,79330896,10135541,2404,141807,194169619
49068174,0,560952,6,164893,181483882
95320782,42994657,16957154,2355,342988,386116343
78297584,55836,735482,67,77737,75685268
41016147,0,5890937,571,204559,273346281
9024615,166786353,733952,73,1289137,463517383
62940472,0,4212176,833,250129,211856088
15245929,0,150611,17,37180,139225854
33190637,58595841,1047719,63,219303,128468793
0,29212500,734153,37,140937,233700000
362607942,18953270,877137,47,281210,211739043
14590729,185438609,11293689,1635,112334,163527824
92808535,88956281,199654,22,62264,128874043
53918831,54902606,792986,41,99682,255000000
58368048,21541,373164,36,79486,148345997
4334488,0,3828537,471,73679,2500000
5289101,0,165822,29,69164,163295654
41647529,11918725,24222551,4168,222559,180148897
183502020,0,2829839,205,236513,104267443
135936571,0,4967166,2215,31830,139840525
218238397,0,25730840,3392,163940,154362963
0,100914781,2285701,189,153007,156974557
19457982,7582369,304303,37,138759,132397389
360722214,61032444,7053564,2772,64119,48164150
58368048,0,85760,5,24444,39017984
41491375,0,1185978,535,171678,72516819
0,49706392,836150,54,62255,33447612
0,101365680,67829,6,50258,62761005
718454,132569239,1561708,85,71261,28045540
81475107,85343206,5071349,353,1425849,100851897
136558130,63351833,185107,7,48838,43545364
55956848,3336826,80028,19,44526,17218916
58368048,0,282033,35,8784,10014234
100912630,0,11562783,2385,68512,15687400
3524553,34699779,321648,45,26286,26670920
0,13246181,1094984,123,73653,56409722
29035001,0,6022302,696,119401,39499349
184932277,0,121436,13,17448,63200000
105108661,0,10437891,1179,150723,46529055
138187030,0,1729402,59,197990,133603463
119637182,0,280384,45,168167,292738626
0,68830627,858304,132,26828,41636243
7443792,0,86080375,16425,656014,1038812584
112100478,10621434,32347,3,36820,25052000
184932277,95577742,39448,3,71891,207500000
54210376,9379170,3263202,706,13110,116864070
47468425,26296359,2163134,82,40995,58255287
27872684,0,87747,30,44284,107822813
0,4692334,1595332,404,44242,40123346
53252595,112100478,45717,8,38822,15346114
49706392,53252595,28168515,4469,333154,145443360
33190637,13566874,319987,2,134325,145594548
4702708,85100657,876553,112,24974,188657593
82109392,0,18833238,2728,631046,210500000
64962645,0,361305,22,218303,516567575
0,41324115,278288,12,11422,1412124
57619771,40419050,3028376,187,838192,290701374
34153588,8180615,404223,76,67209,310043823
148995615,0,7314832,794,623037,368567189
136623867,0,14830040,2228,428943,214357371
5864146,80451316,405882,20,204668,356429941
36465685,0,999548,2,708114,264118201
13903580,131642286,1576364,99,95128,218613188
117777459,6753200,534469,66,51321,164285587
106585059,144799396,1479637,107,164264,73500000
144799396,0,1473721,21,295327,176262839
0,80312456,2103916,102,89317,199043309
23435677,75627836,919234,68,128017,152457863
60879424,89839362,1389310,81,85597,172450423
183502020,0,1155195,58,62946,157670733
39767901,137308171,581081,47,44530,82468131
89996987,38804312,25288818,2453,156124,310697192
5289101,0,1921533,434,88827,124715863
55956848,0,3649863,360,248135,88900000
16450416,0,808848,44,99557,100230832
64271764,0,1057418,51,33425,186883563
183502020,133746607,3638950,883,303403,217670152
71395927,7925092,1139730,56,106603,165890634
183502020,0,11658754,1252,246485,217370736
55836,0,5060527,1197,102680,165048228
555288,13451183,33321573,21572,33865,252091016
0,26805750,11131127,1521,185917,137551594
0,9636694,227656,42,24319,90723216
144799396,0,741734,106,168794,162778384
106585059,0,2789237,140,277888,130968579
15245929,0,181451,32,15337,87123569
0,20660375,185204,24,123791,87100000
62940472,15049848,456340,42,72760,129832389
99171609,21137817,488534,54,253510,99823958
58368048,41881203,235235,42,23825,56709981
47071889,7207977,5865503,571,77292,108119662
55956848,13130548,782604,49,90644,159356941
148995615,100912630,511769,25,92037,98819789
23121740,31359653,263750,15,31877,90482317
54210376,0,200446,5,64912,104429625
100914781,0,3987766,412,103003,131377412
0,64962645,17458453,4014,93794,101134059
41790462,25909956,14164774,3396,96515,193857962
144799396,0,2473536,510,266230,95538560
84635231,52382084,4631122,579,44491,111946251
116056753,0,43206238,9059,259427,457729388
217742101,136558130,1441943,82,110837,82150183
42930943,49386389,4716850,386,179478,104100903
18400291,10332844,1180900,164,78390,57604723
78297584,136623867,1645691,110,129316,124514011
12837432,0,107172,14,42370,81079566
2887915,101854141,109788,11,11095,36850101
27872684,16521474,329975,21,42948,78080697
71395927,0,1195484,136,42560,42194060
7558994,0,148576,10,60991,67312826
104329638,0,208532,11,78739,121327628
49068174,32656666,1499788,68,77947,82812456
0,11588983,84371,2,19993,33956608
