Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated
5982169,152579280,1999,4018583,10127,990,566230,6.5,115000000,431000000,2
5289101,0,2013,7610297,10111,1175,157950,7.2,135000000,573068425,2
5289101,53292861,2002,1022369,1009,60,57614,6,115000000,77628265,4
360722214,0,2016,15757171,40825,1808,63716,6.1,115000000,46445229,3
0,116056753,2014,8336823,23221,2076,176896,5.9,125000000,485004754,3
0,104329638,2013,24402327,55463,5556,613929,7.8,100000000,716392705,3
0,116056753,2016,7034348,42182,2993,55559,6,135000000,244451601,3
43478283,0,2015,37100822,132740,37153,274185,5.7,120000000,167117548,3
71395927,0,2015,37726110,97267,6082,158844,6.1,110000000,469590832,3
5864146,4646016,1997,241243,540,26,153509,6.5,110000000,339504276,3
49068174,72457700,2000,4395765,9209,3333,215760,7.1,110000000,2317507,4
85343206,0,2004,1246588,1005,74,296466,6.5,110000000,125402117,3
85343206,0,2005,3162219,2938,230,366520,6.5,120000000,186200000,3
0,137420415,2015,16497408,83562,4564,168767,6.3,110000000,295279072,3
220027943,0,2004,1048666,1509,40,276371,7.5,110000000,102563679,3
18400291,86667042,2010,1577711,1388,249,54896,4.9,112000000,42776259,2
27098853,28153150,2011,2462548,2872,266,139199,5.8,120000000,229155503,3
11702454,0,2014,25852201,76433,3737,235236,6.2,110000000,91024535,4
37852357,95871895,2011,7422667,16805,1828,69009,5.5,110000000,563749323,2
4037071,0,2004,802423,329,69,14532,5.4,110000000,76482461,2
0,51940986,2016,11555274,59925,3341,66178,5.7,110000000,171484051,3
87210690,64646466,2011,13798422,498008,5311,262755,7.1,110000000,263880341,3
37852357,95871895,2013,5365069,6040,835,28772,5.4,105000000,71017784,2
33948403,184932277,2013,11123221,27322,2268,192606,6.7,110000000,61656849,3
55956848,42696218,2007,350893,352,23,344636,7.2,110000000,382288147,3
106773471,202861432,2001,2295174,6223,155,1303095,8.8,93000000,887210985,3
218238397,133746607,2001,12138733,90057,2415,81585,6.8,107000000,87683966,4
119637182,5792276,2003,1312708,22069,279,37907,3.8,109000000,133818283,2
5269023,38133609,2005,1389096,1909,92,225333,7.2,130000000,218853353,4
23360326,0,1999,1703215,68,8,99506,5.9,133000000,298815224,2
0,36172181,2009,1793201,1704,208,93672,7.1,105000000,270997378,1
